ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,192,52,50,50
A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,195,42,55,64
A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,15,2,4,4
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,751,129,208,200
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,22,4,5,6
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,226,32,54,62
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,218,39,51,56
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,93,24,27,22
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,299,45,78,65
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0,1,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,13,6,3,4
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,19,4,4,7
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,7,1,1,2
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of sand,359,90,85,117
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,12,3,4,2
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,13,0,6,7
A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,2,2,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,89,12,28,17
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,178,36,44,32
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,33,4,4,6
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,55,14,17,8
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,3,0,1,1
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,94,20,26,20
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,3473,624,913,878
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,93,3,19,33
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,128,11,26,28
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,1,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",444,73,111,135
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,2,3,1,1
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,6,1,1,1
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,0,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,89,11,24,17
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,169,28,52,36
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,257,56,74,65
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,626,98,149,158
A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,13,3,7,3
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,50,8,17,12
A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,360,55,107,93
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,102,19,21,33
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,393,94,99,109
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,2,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,0,0,2
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,0,1,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,0,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,11,6,2,5
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,4,1,1,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,1,1,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,6,6,2,0
